,country_code,Indicator,Year,value
123,AFE,Consumption,2017,774089566662.636
124,AFE,Consumption,2018,789167991507.06
125,AFE,Consumption,2019,826349337533.504
126,AFE,Consumption,2020,818476445534.543
127,AFE,Exports,1980,71074419529.1864
128,AFE,Exports,1981,67244412211.0208
129,AFE,Exports,1982,66179307021.0397
130,AFE,Exports,1983,66710112152.4041
131,AFE,Exports,1984,69676881223.4465
132,AFE,Exports,1985,75315031417.1467
133,AFE,Exports,1986,75518607300.9948
134,AFE,Exports,1987,78650272142.3523
135,AFE,Exports,1988,83685207963.4959
136,AFE,Exports,1989,85423528496.5458
137,AFE,Exports,1990,85605983566.81
138,AFE,Exports,1991,84440696921.8687
139,AFE,Exports,1992,86631653179.4508
140,AFE,Exports,1993,96343322152.7734
141,AFE,Exports,1994,99237002294.8468
142,AFE,Exports,1995,108006584327.226
143,AFE,Exports,1996,116147576532.147
144,AFE,Exports,1997,120366594419.71
145,AFE,Exports,1998,123917743764.59
146,AFE,Exports,1999,132855894173.662
147,AFE,Exports,2000,139773066598.977
148,AFE,Exports,2001,149789556808.536
149,AFE,Exports,2002,171251024449.683
150,AFE,Exports,2003,175722233343.898
151,AFE,Exports,2004,185471205507.655
152,AFE,Exports,2005,204357818901.817
153,AFE,Exports,2006,220180817021.929
154,AFE,Exports,2007,243317749888.678
155,AFE,Exports,2008,255562715534.123
156,AFE,Exports,2009,236420557045.548
157,AFE,Exports,2010,248348217715.931
158,AFE,Exports,2011,235961665343.089
159,AFE,Exports,2012,205888723549.912
160,AFE,Exports,2013,214920216736.542
161,AFE,Exports,2014,228615898606.003
162,AFE,Exports,2015,219783992467.224
163,AFE,Exports,2016,211642810247.058
164,AFE,Exports,2017,214288854919.282
165,AFE,Exports,2018,224778568340.106
166,AFE,Exports,2019,224357083162.082
167,AFE,Exports,2020,201631074235.13
168,AFE,GDP,1980,332413861028.144
169,AFE,GDP,1981,345753887929.57
170,AFE,GDP,1982,346888193290.563
171,AFE,GDP,1983,347513366631.415
172,AFE,GDP,1984,359113027150.361
173,AFE,GDP,1985,358471197930.651
174,AFE,GDP,1986,366402741716.878
175,AFE,GDP,1987,380826813451.636
176,AFE,GDP,1988,396781049308.67
177,AFE,GDP,1989,407290006698.036
178,AFE,GDP,1990,407497014554.954
179,AFE,GDP,1991,407108174992.09
180,AFE,GDP,1992,397568848057.505
181,AFE,GDP,1993,393237664710.067
182,AFE,GDP,1994,401306562686.7
183,AFE,GDP,1995,419004080516.529
184,AFE,GDP,1996,442342732156.009
185,AFE,GDP,1997,457494792861.253
186,AFE,GDP,1998,465681693043.983
187,AFE,GDP,1999,477807465237.001
188,AFE,GDP,2000,493083651737.665
189,AFE,GDP,2001,510472146755.021
190,AFE,GDP,2002,530853295471.485
191,AFE,GDP,2003,546290528937.642
192,AFE,GDP,2004,577191898398.542
193,AFE,GDP,2005,613911715966.423
194,AFE,GDP,2006,654974767649.413
195,AFE,GDP,2007,699888376338.281
196,AFE,GDP,2008,731891046481.464
197,AFE,GDP,2009,738820673505.762
198,AFE,GDP,2010,776887200452.951
199,AFE,GDP,2011,808072876833.347
200,AFE,GDP,2012,824013340189.438
201,AFE,GDP,2013,859514882216.172
202,AFE,GDP,2014,893781629582.56
203,AFE,GDP,2015,919930022724.422
204,AFE,GDP,2016,938507003390.826
205,AFE,GDP,2017,962366647531.208
206,AFE,GDP,2018,986187837152.574
207,AFE,GDP,2019,1006679813065.29
208,AFE,GDP,2020,977091625151.706
209,AFE,Imports,1982,51544396220.3265
210,AFE,Imports,1983,45742241075.6745
211,AFE,Imports,1984,52176306370.5341
212,AFE,Imports,1985,47226077981.0687
213,AFE,Imports,1986,47577247419.2796
214,AFE,Imports,1987,50629152675.9374
215,AFE,Imports,1988,59290012603.9915
216,AFE,Imports,1989,60603318251.1909
217,AFE,Imports,1990,59040703411.0614
218,AFE,Imports,1991,60211427630.3032
219,AFE,Imports,1992,61268837872.7515
220,AFE,Imports,1993,64709216435.3868
221,AFE,Imports,1994,72949216236.6509
222,AFE,Imports,1995,82428332571.6901
223,AFE,Imports,1996,88696598317.1314
224,AFE,Imports,1997,95986354717.1067
225,AFE,Imports,1998,99977203902.7049
226,AFE,Imports,1999,95577663583.7891
227,AFE,Imports,2000,99499204229.5396
228,AFE,Imports,2001,111437959288.813
229,AFE,Imports,2002,133980770188.951
230,AFE,Imports,2003,145405646946.028
231,AFE,Imports,2004,160600000189.938
232,AFE,Imports,2005,177717699209.94
233,AFE,Imports,2006,198715760213.062
234,AFE,Imports,2007,218172134765.576
235,AFE,Imports,2008,237360713042.186
236,AFE,Imports,2009,221703563277.081
237,AFE,Imports,2010,231446960146.65
238,AFE,Imports,2011,252579684757.838
239,AFE,Imports,2012,267246275695.764
240,AFE,Imports,2013,278799782837.616
241,AFE,Imports,2014,285168609849.512
242,AFE,Imports,2015,280937899426.218
243,AFE,Imports,2016,261938645081.082
244,AFE,Imports,2017,264464134945.844
245,AFE,Imports,2018,270468847375.211
246,AFE,Imports,2019,280173150654.651
247,AFE,Imports,2020,253957908990.452
248,AFE,Investment,1993,137108069620.548
249,AFE,Investment,1994,140605506715.698
250,AFE,Investment,1995,147190299710.623
251,AFE,Investment,1996,214137083651.686
252,AFE,Investment,1997,290572728991.045
253,AFE,Investment,1998,338904908655.457
254,AFE,Investment,1999,327978488725.514
255,AFE,Investment,2000,377535441967.204
256,AFE,Investment,2001,387802639547.518
257,AFE,Investment,2002,431598416699.796
258,AFE,Investment,2003,467021890761.295
259,AFE,Investment,2004,510237843758.47
260,AFE,Investment,2005,555268410199.516
261,AFE,Investment,2006,631879800158.389
262,AFE,Investment,2007,677007276532.166
263,AFE,Investment,2008,714766553694.713
264,AFE,Investment,2009,547392900727.063
265,AFE,Investment,2010,499001290730.735
266,AFE,Investment,2011,487473594374.229
267,AFE,Investment,2012,302200293208.032
268,AFE,Investment,2013,258747925469.89
269,AFE,Investment,2014,229486727276.499
270,AFE,Investment,2015,220617979733.153
271,AFE,Investment,2016,218896557937.877
272,AFE,Investment,2017,223326257939.542
273,AFE,Investment,2018,234429667499.18
274,AFE,Investment,2019,251050796418.193
275,AFE,Investment,2020,248039597819.264
276,AFE,Population,1960,130836765.0
277,AFE,Population,1961,134159786.0
278,AFE,Population,1962,137614644.0
279,AFE,Population,1963,141202036.0
280,AFE,Population,1964,144920186.0
281,AFE,Population,1965,148769974.0
282,AFE,Population,1966,152752671.0
283,AFE,Population,1967,156876454.0
284,AFE,Population,1968,161156430.0
285,AFE,Population,1969,165611760.0
286,AFE,Population,1970,170257189.0
287,AFE,Population,1971,175100167.0
288,AFE,Population,1972,180141148.0
289,AFE,Population,1973,185376550.0
290,AFE,Population,1974,190800796.0
291,AFE,Population,1975,196409937.0
292,AFE,Population,1976,202205766.0
293,AFE,Population,1977,208193045.0
294,AFE,Population,1978,214368393.0
295,AFE,Population,1979,220740384.0
296,AFE,Population,1980,227305945.0
297,AFE,Population,1981,234058404.0
298,AFE,Population,1982,240999134.0
299,AFE,Population,1983,248146290.0
300,AFE,Population,1984,255530063.0
301,AFE,Population,1985,263161451.0
302,AFE,Population,1986,271050065.0
303,AFE,Population,1987,279184536.0
304,AFE,Population,1988,287524258.0
305,AFE,Population,1989,296024639.0
306,AFE,Population,1990,304648010.0
307,AFE,Population,1991,313394693.0
308,AFE,Population,1992,322270073.0
309,AFE,Population,1993,331265579.0
310,AFE,Population,1994,340379934.0
311,AFE,Population,1995,349605660.0
312,AFE,Population,1996,358953595.0
313,AFE,Population,1997,368440591.0
314,AFE,Population,1998,378098393.0
315,AFE,Population,1999,387977990.0
316,AFE,Population,2000,398113044.0
317,AFE,Population,2001,408522129.0
318,AFE,Population,2002,419223717.0
319,AFE,Population,2003,430246635.0
320,AFE,Population,2004,441630149.0
321,AFE,Population,2005,453404076.0
322,AFE,Population,2006,465581372.0
323,AFE,Population,2007,478166911.0
324,AFE,Population,2008,491173160.0
325,AFE,Population,2009,504604672.0
326,AFE,Population,2010,518468229.0
327,AFE,Population,2011,532760424.0
328,AFE,Population,2012,547482863.0
329,AFE,Population,2013,562601578.0
330,AFE,Population,2014,578075373.0
331,AFE,Population,2015,593871847.0
332,AFE,Population,2016,609978946.0
333,AFE,Population,2017,626392880.0
334,AFE,Population,2018,643090131.0
335,AFE,Population,2019,660046272.0
336,AFE,Population,2020,677243299.0
337,AFG,GDP,2002,7228792185.8025
338,AFG,GDP,2003,7867259194.15068
339,AFG,GDP,2004,7978511520.99477
340,AFG,GDP,2005,8874475611.97397
341,AFG,GDP,2006,9349917056.94245
342,AFG,GDP,2007,10642666466.7061
343,AFG,GDP,2008,11060389403.7128
344,AFG,GDP,2009,13426265139.5021
345,AFG,GDP,2010,15354604611.6719
346,AFG,GDP,2011,15420069703.0793
347,AFG,GDP,2012,17386481260.8962
348,AFG,GDP,2013,18360253681.3442
349,AFG,GDP,2014,18860486754.6234
350,AFG,GDP,2015,19134211763.859
351,AFG,GDP,2016,19566705069.6652
352,AFG,GDP,2017,20084636379.3769
353,AFG,GDP,2018,20323488524.6834
354,AFG,GDP,2019,21118462796.7609
355,AFG,GDP,2020,20621946475.7248
356,AFG,Population,1960,8996967.0
357,AFG,Population,1961,9169406.0
358,AFG,Population,1962,9351442.0
359,AFG,Population,1963,9543200.0
360,AFG,Population,1964,9744772.0
361,AFG,Population,1965,9956318.0
362,AFG,Population,1966,10174840.0
363,AFG,Population,1967,10399936.0
364,AFG,Population,1968,10637064.0
365,AFG,Population,1969,10893772.0
366,AFG,Population,1970,11173654.0
367,AFG,Population,1971,11475450.0
368,AFG,Population,1972,11791222.0
369,AFG,Population,1973,12108963.0
370,AFG,Population,1974,12412960.0
371,AFG,Population,1975,12689164.0
372,AFG,Population,1976,12943093.0
373,AFG,Population,1977,13171294.0
374,AFG,Population,1978,13341199.0
375,AFG,Population,1979,13411060.0
376,AFG,Population,1980,13356500.0
377,AFG,Population,1981,13171679.0
378,AFG,Population,1982,12882518.0
379,AFG,Population,1983,12537732.0
380,AFG,Population,1984,12204306.0
381,AFG,Population,1985,11938204.0
382,AFG,Population,1986,11736177.0
383,AFG,Population,1987,11604538.0
384,AFG,Population,1988,11618008.0
385,AFG,Population,1989,11868873.0
386,AFG,Population,1990,12412311.0
387,AFG,Population,1991,13299016.0
388,AFG,Population,1992,14485543.0
389,AFG,Population,1993,15816601.0
390,AFG,Population,1994,17075728.0
391,AFG,Population,1995,18110662.0
392,AFG,Population,1996,18853444.0
393,AFG,Population,1997,19357126.0
394,AFG,Population,1998,19737770.0
395,AFG,Population,1999,20170847.0
396,AFG,Population,2000,20779957.0
397,AFG,Population,2001,21606992.0
398,AFG,Population,2002,22600774.0
399,AFG,Population,2003,23680871.0
400,AFG,Population,2004,24726689.0
401,AFG,Population,2005,25654274.0
402,AFG,Population,2006,26433058.0
403,AFG,Population,2007,27100542.0
404,AFG,Population,2008,27722281.0
405,AFG,Population,2009,28394806.0
406,AFG,Population,2010,29185511.0
407,AFG,Population,2011,30117411.0
408,AFG,Population,2012,31161378.0
409,AFG,Population,2013,32269592.0
410,AFG,Population,2014,33370804.0
411,AFG,Population,2015,34413603.0
412,AFG,Population,2016,35383028.0
413,AFG,Population,2017,36296111.0
414,AFG,Population,2018,37171922.0
415,AFG,Population,2019,38041757.0
416,AFG,Population,2020,38928341.0
417,AFW,Consumption,1981,181380284991.728
418,AFW,Consumption,1982,167665613352.687
419,AFW,Consumption,1983,140392302758.973
420,AFW,Consumption,1984,146410051091.02
421,AFW,Consumption,1985,170757590906.955
422,AFW,Consumption,1986,164036039637.956
423,AFW,Consumption,1987,157458373984.445
424,AFW,Consumption,1988,163587002038.527
425,AFW,Consumption,1989,154565205277.974
426,AFW,Consumption,1990,178550411964.42
427,AFW,Consumption,1991,187652966925.772
428,AFW,Consumption,1992,207246685050.295
429,AFW,Consumption,1993,197327477359.797
430,AFW,Consumption,1994,182300447786.375
431,AFW,Consumption,1995,190541274595.625
432,AFW,Consumption,1996,219840967587.41
433,AFW,Consumption,1997,218364839849.056
434,AFW,Consumption,1998,222035260936.3
435,AFW,Consumption,1999,215661865219.599
436,AFW,Consumption,2000,219267722194.897
437,AFW,Consumption,2001,298209834931.864
438,AFW,Consumption,2002,330717562241.162
439,AFW,Consumption,2003,357513480526.377
440,AFW,Consumption,2004,373656013204.823
441,AFW,Consumption,2005,411835838089.32
442,AFW,Consumption,2006,382918555159.027
443,AFW,Consumption,2007,487462622754.114
444,AFW,Consumption,2008,448038425917.116
445,AFW,Consumption,2009,507806650970.418
446,AFW,Consumption,2010,529233779498.706
447,AFW,Consumption,2011,529461008006.692
448,AFW,Consumption,2012,539413001103.189
449,AFW,Consumption,2013,615184050766.838
450,AFW,Consumption,2014,620645730791.169
451,AFW,Consumption,2015,630423488186.602
452,AFW,Consumption,2016,611246189700.234
453,AFW,Consumption,2017,614013773117.084
454,AFW,Consumption,2018,651397002773.29
455,AFW,Consumption,2019,663390419139.89
456,AFW,Consumption,2020,695203954210.998
457,AFW,Exports,1990,58888415512.7468
458,AFW,Exports,1991,61219503014.2504
459,AFW,Exports,1992,53156853978.646
460,AFW,Exports,1993,57975415550.1304
461,AFW,Exports,1994,61210025021.1122
462,AFW,Exports,1995,61458359245.3499
463,AFW,Exports,1996,60035166147.7919
464,AFW,Exports,1997,71142467048.2059
465,AFW,Exports,1998,72332291652.7215
466,AFW,Exports,1999,70263940597.3847
467,AFW,Exports,2000,72109908875.5526
468,AFW,Exports,2001,65102188443.762
469,AFW,Exports,2002,68695819363.9582
470,AFW,Exports,2003,73074100735.9062
471,AFW,Exports,2004,75276236682.2204
472,AFW,Exports,2005,81045638984.4205
473,AFW,Exports,2006,105161654352.772
474,AFW,Exports,2007,98846573377.1128
475,AFW,Exports,2008,117356411204.35
476,AFW,Exports,2009,102385139006.627
477,AFW,Exports,2010,110552851450.718
478,AFW,Exports,2011,127561212126.54
479,AFW,Exports,2012,130607468874.262
480,AFW,Exports,2013,116627544337.072
481,AFW,Exports,2014,130342105123.921
482,AFW,Exports,2015,132816526035.146
483,AFW,Exports,2016,139290157065.094
484,AFW,Exports,2017,154209385693.983
485,AFW,Exports,2018,156329040298.08
486,AFW,Exports,2019,173118766682.269
487,AFW,Exports,2020,152468166727.79
488,AFW,GDP,1960,104844099903.205
489,AFW,GDP,1961,106782372409.958
490,AFW,GDP,1962,110808294540.704
491,AFW,GDP,1963,118866828963.491
492,AFW,GDP,1964,125281306615.037
493,AFW,GDP,1965,130354942008.805
494,AFW,GDP,1966,128025377068.507
495,AFW,GDP,1967,115803407356.065
496,AFW,GDP,1968,117500785400.68
497,AFW,GDP,1969,135703929289.335
498,AFW,GDP,1970,160007146329.389
499,AFW,GDP,1971,177299932209.67
500,AFW,GDP,1972,182877712751.433
501,AFW,GDP,1973,190583072087.851
502,AFW,GDP,1974,210117554071.38
503,AFW,GDP,1975,205569949397.595
504,AFW,GDP,1976,223205212840.625
505,AFW,GDP,1977,233754333710.969
506,AFW,GDP,1978,228625259428.378
507,AFW,GDP,1979,240584167283.363
508,AFW,GDP,1980,245384642358.41
509,AFW,GDP,1981,228372728441.183
510,AFW,GDP,1982,220721147106.467
511,AFW,GDP,1983,206298786490.683
512,AFW,GDP,1984,207452740169.605
513,AFW,GDP,1985,218969867228.645
514,AFW,GDP,1986,222067762145.339
515,AFW,GDP,1987,225284162241.869
516,AFW,GDP,1988,236197562440.721
517,AFW,GDP,1989,241564236844.108
518,AFW,GDP,1990,257417907712.142
519,AFW,GDP,1991,260303740766.007
520,AFW,GDP,1992,267316217601.015
521,AFW,GDP,1993,264214097653.17
522,AFW,GDP,1994,263422403289.938
523,AFW,GDP,1995,268498625644.532
524,AFW,GDP,1996,280927555195.782
525,AFW,GDP,1997,292823990200.82
526,AFW,GDP,1998,303091909848.769
527,AFW,GDP,1999,307398953556.982
528,AFW,GDP,2000,318879183365.911
529,AFW,GDP,2001,335501383769.46
530,AFW,GDP,2002,368714648443.907
531,AFW,GDP,2003,389062203712.732
532,AFW,GDP,2004,420239648040.063
533,AFW,GDP,2005,444816736541.647
534,AFW,GDP,2006,468723246620.823
535,AFW,GDP,2007,494648269304.649
536,AFW,GDP,2008,525708337567.327
537,AFW,GDP,2009,558693713983.522
538,AFW,GDP,2010,597562091886.637
539,AFW,GDP,2011,626533999497.879
540,AFW,GDP,2012,658756419175.703
541,AFW,GDP,2013,698968496793.389
542,AFW,GDP,2014,740398805175.859
543,AFW,GDP,2015,760729687146.574
544,AFW,GDP,2016,761700338996.091
545,AFW,GDP,2017,779356869183.876
546,AFW,GDP,2018,802365278925.656
547,AFW,GDP,2019,827963431037.275
548,AFW,GDP,2020,820636112652.497
549,AFW,Imports,1990,56590015776.9831
550,AFW,Imports,1991,69730171563.7909
551,AFW,Imports,1992,60188545740.767
552,AFW,Imports,1993,70975938162.3925
553,AFW,Imports,1994,61125408503.3127
554,AFW,Imports,1995,56705431804.0472
555,AFW,Imports,1996,76257563649.1012
556,AFW,Imports,1997,95624731633.062
557,AFW,Imports,1998,93741903780.0982
558,AFW,Imports,1999,72135656393.3372
559,AFW,Imports,2000,77834887467.0496
560,AFW,Imports,2001,107716177647.161
561,AFW,Imports,2002,112506057713.061
562,AFW,Imports,2003,155172985353.936
563,AFW,Imports,2004,116894135620.438
564,AFW,Imports,2005,147039932731.418
565,AFW,Imports,2006,186388408224.673
566,AFW,Imports,2007,230307596839.964
567,AFW,Imports,2008,203904824126.716
568,AFW,Imports,2009,182853370717.052
569,AFW,Imports,2010,177184821601.651
570,AFW,Imports,2011,175145673003.554
571,AFW,Imports,2012,155854476654.556
572,AFW,Imports,2013,164427339052.788
573,AFW,Imports,2014,168096809815.023
574,AFW,Imports,2015,153861427199.817
575,AFW,Imports,2016,150625211551.671
576,AFW,Imports,2017,153684214416.573
577,AFW,Imports,2018,185138707032.955
578,AFW,Imports,2019,212748070894.994
579,AFW,Imports,2020,184265410319.344
580,AFW,Investment,1985,73700524606.3261
581,AFW,Investment,1986,71991914869.5258
582,AFW,Investment,1987,65877264000.46
583,AFW,Investment,1988,68957191737.6795
584,AFW,Investment,1989,70268409038.162
585,AFW,Investment,1990,78707257005.9211
586,AFW,Investment,1991,78226041836.5375
587,AFW,Investment,1992,77718684532.4854
588,AFW,Investment,1993,83471871622.7758
589,AFW,Investment,1994,83044679377.0081
590,AFW,Investment,1995,78429674944.8493
591,AFW,Investment,1996,83730734513.496
592,AFW,Investment,1997,88051878023.792
593,AFW,Investment,1998,90200454893.9222
594,AFW,Investment,1999,90859437518.6024
595,AFW,Investment,2000,96049182769.3075
596,AFW,Investment,2001,78908802937.91
597,AFW,Investment,2002,86173287486.0211
598,AFW,Investment,2003,99802223824.4695
599,AFW,Investment,2004,85279948486.8374
600,AFW,Investment,2005,87869697286.2264
601,AFW,Investment,2006,115289800170.988
602,AFW,Investment,2007,106771944057.613
603,AFW,Investment,2008,109699303150.816
604,AFW,Investment,2009,114265677050.794
605,AFW,Investment,2010,118549379006.536
606,AFW,Investment,2011,117023736685.919
607,AFW,Investment,2012,128786746906.445
608,AFW,Investment,2013,130910971536.327
609,AFW,Investment,2014,145413041800.124
610,AFW,Investment,2015,144420756202.372
611,AFW,Investment,2016,143601859314.85
612,AFW,Investment,2017,136432330987.214
613,AFW,Investment,2018,150956061384.773
614,AFW,Investment,2019,160990829625.116
615,AFW,Investment,2020,153969801496.235
616,AFW,Population,1960,96396419.0
617,AFW,Population,1961,98407221.0
618,AFW,Population,1962,100506960.0
619,AFW,Population,1963,102691339.0
620,AFW,Population,1964,104953470.0
621,AFW,Population,1965,107289875.0
622,AFW,Population,1966,109701811.0
623,AFW,Population,1967,112195950.0
624,AFW,Population,1968,114781116.0
625,AFW,Population,1969,117468741.0
626,AFW,Population,1970,120269044.0
627,AFW,Population,1971,123184308.0
628,AFW,Population,1972,126218502.0
629,AFW,Population,1973,129384954.0
630,AFW,Population,1974,132699537.0
631,AFW,Population,1975,136173544.0
632,AFW,Population,1976,139813171.0
633,AFW,Population,1977,143615715.0
634,AFW,Population,1978,147571063.0
635,AFW,Population,1979,151663853.0
636,AFW,Population,1980,155882270.0
637,AFW,Population,1981,160223588.0
638,AFW,Population,1982,164689764.0
639,AFW,Population,1983,169279422.0
640,AFW,Population,1984,173991851.0
641,AFW,Population,1985,178826553.0
642,AFW,Population,1986,183785612.0
643,AFW,Population,1987,188868567.0
644,AFW,Population,1988,194070079.0
645,AFW,Population,1989,199382783.0
646,AFW,Population,1990,204803865.0
647,AFW,Population,1991,210332267.0
648,AFW,Population,1992,215976366.0
649,AFW,Population,1993,221754806.0
650,AFW,Population,1994,227692136.0
651,AFW,Population,1995,233807627.0
652,AFW,Population,1996,240114179.0
653,AFW,Population,1997,246613750.0
654,AFW,Population,1998,253302310.0
655,AFW,Population,1999,260170348.0
656,AFW,Population,2000,267214544.0
657,AFW,Population,2001,274433894.0
658,AFW,Population,2002,281842480.0
659,AFW,Population,2003,289469530.0
660,AFW,Population,2004,297353098.0
661,AFW,Population,2005,305520588.0
662,AFW,Population,2006,313985474.0
663,AFW,Population,2007,322741656.0
664,AFW,Population,2008,331772330.0
665,AFW,Population,2009,341050537.0
666,AFW,Population,2010,350556886.0
667,AFW,Population,2011,360285439.0
668,AFW,Population,2012,370243017.0
669,AFW,Population,2013,380437896.0
670,AFW,Population,2014,390882979.0
671,AFW,Population,2015,401586651.0
672,AFW,Population,2016,412551299.0
673,AFW,Population,2017,423769930.0
674,AFW,Population,2018,435229381.0
675,AFW,Population,2019,446911598.0
676,AFW,Population,2020,458803476.0
677,AGO,Consumption,2000,34372161355.1653
678,AGO,Consumption,2001,35291727437.9545
679,AGO,Consumption,2002,35194608535.0633
680,AGO,Consumption,2003,37617931182.183
681,AGO,Consumption,2004,38892837578.1419
682,AGO,Consumption,2005,41231107979.2528
683,AGO,Consumption,2006,44309269356.828
684,AGO,Consumption,2007,47312198687.7692
685,AGO,Consumption,2008,51811809357.0997
686,AGO,Consumption,2009,53816890095.7831
687,AGO,Consumption,2010,56101192630.4593
688,AGO,Consumption,2011,64618116039.6207
689,AGO,Consumption,2012,69067386675.2596
690,AGO,Consumption,2013,77512698429.9938
691,AGO,Consumption,2014,80547963197.326
692,AGO,Consumption,2015,80379086228.0497
693,AGO,Consumption,2016,81860041692.2305
694,AGO,Consumption,2017,83768090973.9495
695,AGO,Consumption,2018,81212298660.094
696,AGO,Consumption,2019,79913365097.9496
697,AGO,Consumption,2020,75004530214.5499
698,AGO,Exports,2000,4698226837.50268
699,AGO,Exports,2001,8492185425.11122
700,AGO,Exports,2002,21231127896.6673
701,AGO,Exports,2003,20955123234.0107
702,AGO,Exports,2004,23698148866.4326
703,AGO,Exports,2005,29132134397.4761
704,AGO,Exports,2006,33295116404.2175
705,AGO,Exports,2007,38808787682.0393
706,AGO,Exports,2008,42930280934.1547
707,AGO,Exports,2009,41792405729.0894
708,AGO,Exports,2010,40798192743.6504
709,AGO,Exports,2011,38707652003.8045
710,AGO,Exports,2012,40720397460.7471
711,AGO,Exports,2013,40242380406.2121
712,AGO,Exports,2014,40525941228.6008
