,series_code,indicator_name
53,BN.RES.INCL.CD,"Reserves and related items (BoP, current US$)"
54,BN.TRF.CURR.CD,"Net secondary income (BoP, current US$)"
55,BN.TRF.KOGT.CD,"Net capital account (BoP, current US$)"
56,BX.GRT.EXTA.CD.WD,"Grants, excluding technical cooperation (BoP, current US$)"
57,BX.GRT.TECH.CD.WD,"Technical cooperation grants (BoP, current US$)"
58,BX.GSR.CCIS.CD,"ICT service exports (BoP, current US$)"
59,BX.GSR.CCIS.ZS,"ICT service exports (% of service exports, BoP)"
60,BX.GSR.CMCP.ZS,"Communications, computer, etc. (% of service exports, BoP)"
61,BX.GSR.FCTY.CD,"Primary income receipts (BoP, current US$)"
62,BX.GSR.GNFS.CD,"Exports of goods and services (BoP, current US$)"
63,BX.GSR.INSF.ZS,"Insurance and financial services (% of service exports, BoP)"
64,BX.GSR.MRCH.CD,"Goods exports (BoP, current US$)"
65,BX.GSR.NFSV.CD,"Service exports (BoP, current US$)"
66,BX.GSR.ROYL.CD,"Charges for the use of intellectual property, receipts (BoP, current US$)"
67,BX.GSR.TOTL.CD,"Exports of goods, services and primary income (BoP, current US$)"
68,BX.GSR.TRAN.ZS,"Transport services (% of service exports, BoP)"
69,BX.GSR.TRVL.ZS,"Travel services (% of service exports, BoP)"
70,BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)"
71,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)"
72,BX.PEF.TOTL.CD.WD,"Portfolio equity, net inflows (BoP, current US$)"
73,BX.TRF.CURR.CD,"Secondary income receipts (BoP, current US$)"
74,BX.TRF.PWKR.CD,"Personal transfers, receipts (BoP, current US$)"
75,BX.TRF.PWKR.CD.DT,"Personal remittances, received (current US$)"
76,BX.TRF.PWKR.DT.GD.ZS,"Personal remittances, received (% of GDP)"
77,CM.MKT.INDX.ZG,S&P Global Equity Indices (annual % change)
78,CM.MKT.LCAP.CD,Market capitalization of listed domestic companies (current US$)
79,CM.MKT.LCAP.GD.ZS,Market capitalization of listed domestic companies (% of GDP)
80,CM.MKT.LDOM.NO,"Listed domestic companies, total"
81,CM.MKT.TRAD.CD,"Stocks traded, total value (current US$)"
82,CM.MKT.TRAD.GD.ZS,"Stocks traded, total value (% of GDP)"
83,CM.MKT.TRNR,"Stocks traded, turnover ratio of domestic shares (%)"
84,DC.DAC.AUSL.CD,"Net bilateral aid flows from DAC donors, Australia (current US$)"
85,DC.DAC.AUTL.CD,"Net bilateral aid flows from DAC donors, Austria (current US$)"
86,DC.DAC.BELL.CD,"Net bilateral aid flows from DAC donors, Belgium (current US$)"
87,DC.DAC.CANL.CD,"Net bilateral aid flows from DAC donors, Canada (current US$)"
88,DC.DAC.CECL.CD,"Net bilateral aid flows from DAC donors, European Union institutions (current US$)"
89,DC.DAC.CHEL.CD,"Net bilateral aid flows from DAC donors, Switzerland (current US$)"
90,DC.DAC.CZEL.CD,"Net bilateral aid flows from DAC donors, Czech Republic (current US$)"
91,DC.DAC.DEUL.CD,"Net bilateral aid flows from DAC donors, Germany (current US$)"
92,DC.DAC.DNKL.CD,"Net bilateral aid flows from DAC donors, Denmark (current US$)"
93,DC.DAC.ESPL.CD,"Net bilateral aid flows from DAC donors, Spain (current US$)"
94,DC.DAC.FINL.CD,"Net bilateral aid flows from DAC donors, Finland (current US$)"
95,DC.DAC.FRAL.CD,"Net bilateral aid flows from DAC donors, France (current US$)"
96,DC.DAC.GBRL.CD,"Net bilateral aid flows from DAC donors, United Kingdom (current US$)"
97,DC.DAC.GRCL.CD,"Net bilateral aid flows from DAC donors, Greece (current US$)"
98,DC.DAC.HUNL.CD,"Net bilateral aid flows from DAC donors, Hungary (current US$)"
99,DC.DAC.IRLL.CD,"Net bilateral aid flows from DAC donors, Ireland (current US$)"
100,DC.DAC.ISLL.CD,"Net bilateral aid flows from DAC donors, Iceland (current US$)"
101,DC.DAC.ITAL.CD,"Net bilateral aid flows from DAC donors, Italy (current US$)"
102,DC.DAC.JPNL.CD,"Net bilateral aid flows from DAC donors, Japan (current US$)"
103,DC.DAC.KORL.CD,"Net bilateral aid flows from DAC donors, Korea, Rep. (current US$)"
104,DC.DAC.LUXL.CD,"Net bilateral aid flows from DAC donors, Luxembourg (current US$)"
105,DC.DAC.NLDL.CD,"Net bilateral aid flows from DAC donors, Netherlands (current US$)"
106,DC.DAC.NORL.CD,"Net bilateral aid flows from DAC donors, Norway (current US$)"
107,DC.DAC.NZLL.CD,"Net bilateral aid flows from DAC donors, New Zealand (current US$)"
108,DC.DAC.POLL.CD,"Net bilateral aid flows from DAC donors, Poland (current US$)"
109,DC.DAC.PRTL.CD,"Net bilateral aid flows from DAC donors, Portugal (current US$)"
110,DC.DAC.SVKL.CD,"Net bilateral aid flows from DAC donors, Slovak Republic (current US$)"
111,DC.DAC.SVNL.CD,"Net bilateral aid flows from DAC donors, Slovenia (current US$)"
112,DC.DAC.SWEL.CD,"Net bilateral aid flows from DAC donors, Sweden (current US$)"
113,DC.DAC.TOTL.CD,"Net bilateral aid flows from DAC donors, Total (current US$)"
114,DC.DAC.USAL.CD,"Net bilateral aid flows from DAC donors, United States (current US$)"
115,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)"
116,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI)
117,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)"
118,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)"
119,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2020 US$)"
120,DT.DOD.DECT.CD,"External debt stocks, total (DOD, current US$)"
121,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI)
122,DT.DOD.DIMF.CD,"Use of IMF credit (DOD, current US$)"
123,DT.DOD.DLXF.CD,"External debt stocks, long-term (DOD, current US$)"
124,DT.DOD.DPNG.CD,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)"
125,DT.DOD.DPPG.CD,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)"
126,DT.DOD.DSTC.CD,"External debt stocks, short-term (DOD, current US$)"
127,DT.DOD.DSTC.IR.ZS,Short-term debt (% of total reserves)
128,DT.DOD.DSTC.XP.ZS,"Short-term debt (% of exports of goods, services and primary income)"
129,DT.DOD.DSTC.ZS,Short-term debt (% of total external debt)
130,DT.DOD.MIBR.CD,"PPG, IBRD (DOD, current US$)"
131,DT.DOD.MIDA.CD,"PPG, IDA (DOD, current US$)"
132,DT.DOD.MWBG.CD,"IBRD loans and IDA credits (DOD, current US$)"
133,DT.DOD.PVLX.CD,Present value of external debt (current US$)
134,DT.DOD.PVLX.EX.ZS,"Present value of external debt (% of exports of goods, services and income)"
135,DT.DOD.PVLX.GN.ZS,Present value of external debt (% of GNI)
136,DT.NFL.BLAT.CD,"Net financial flows, bilateral (NFL, current US$)"
137,DT.NFL.BOND.CD,"Portfolio investment, bonds (PPG + PNG) (NFL, current US$)"
138,DT.NFL.DPNG.CD,"Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$)"
139,DT.NFL.FAOG.CD,"Net official flows from UN agencies, FAO (current US$)"
140,DT.NFL.IAEA.CD,"Net official flows from UN agencies, IAEA (current US$)"
141,DT.NFL.IFAD.CD,"Net official flows from UN agencies, IFAD (current US$)"
142,DT.NFL.ILOG.CD,"Net official flows from UN agencies, ILO (current US$)"
143,DT.NFL.IMFC.CD,"Net financial flows, IMF concessional (NFL, current US$)"
144,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)"
145,DT.NFL.MIBR.CD,"Net financial flows, IBRD (NFL, current US$)"
146,DT.NFL.MIDA.CD,"Net financial flows, IDA (NFL, current US$)"
147,DT.NFL.MLAT.CD,"Net financial flows, multilateral (NFL, current US$)"
148,DT.NFL.MOTH.CD,"Net financial flows, others (NFL, current US$)"
149,DT.NFL.NIFC.CD,"IFC, private nonguaranteed (NFL, current US$)"
150,DT.NFL.OFFT.CD,"PPG, official creditors (NFL, current US$)"
151,DT.NFL.PBND.CD,"PPG, bonds (NFL, current US$)"
152,DT.NFL.PCBK.CD,"PPG, commercial banks (NFL, current US$)"
153,DT.NFL.PCBO.CD,"Commercial banks and other lending (PPG + PNG) (NFL, current US$)"
154,DT.NFL.PNGB.CD,"PNG, bonds (NFL, current US$)"
155,DT.NFL.PNGC.CD,"PNG, commercial banks and other creditors (NFL, current US$)"
156,DT.NFL.PROP.CD,"PPG, other private creditors (NFL, current US$)"
157,DT.NFL.PRVT.CD,"PPG, private creditors (NFL, current US$)"
158,DT.NFL.RDBC.CD,"Net financial flows, RDB concessional (NFL, current US$)"
159,DT.NFL.RDBN.CD,"Net financial flows, RDB nonconcessional (NFL, current US$)"
160,DT.NFL.UNAI.CD,"Net official flows from UN agencies, UNAIDS (current US$)"
161,DT.NFL.UNCF.CD,"Net official flows from UN agencies, UNICEF (current US$)"
162,DT.NFL.UNCR.CD,"Net official flows from UN agencies, UNHCR (current US$)"
163,DT.NFL.UNDP.CD,"Net official flows from UN agencies, UNDP (current US$)"
164,DT.NFL.UNEC.CD,"Net official flows from UN agencies, UNECE (current US$)"
165,DT.NFL.UNEP.CD,"Net official flows from UN agencies, UNEP (current US$)"
166,DT.NFL.UNFP.CD,"Net official flows from UN agencies, UNFPA (current US$)"
167,DT.NFL.UNID.CD,"Net official flows from UN agencies, UNIDIR (current US$)"
168,DT.NFL.UNPB.CD,"Net official flows from UN agencies, UNPBF (current US$)"
169,DT.NFL.UNRW.CD,"Net official flows from UN agencies, UNRWA (current US$)"
170,DT.NFL.UNTA.CD,"Net official flows from UN agencies, UNTA (current US$)"
171,DT.NFL.UNWT.CD,"Net official flows from UN agencies, UNWTO (current US$)"
172,DT.NFL.WFPG.CD,"Net official flows from UN agencies, WFP (current US$)"
173,DT.NFL.WHOL.CD,"Net official flows from UN agencies, WHO (current US$)"
174,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$)
175,DT.ODA.ALLD.KD,Net official development assistance and official aid received (constant 2020 US$)
176,DT.ODA.OATL.CD,Net official aid received (current US$)
177,DT.ODA.OATL.KD,Net official aid received (constant 2020 US$)
178,DT.ODA.ODAT.CD,Net official development assistance received (current US$)
179,DT.ODA.ODAT.GI.ZS,Net ODA received (% of gross capital formation)
180,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI)
181,DT.ODA.ODAT.KD,Net official development assistance received (constant 2020 US$)
182,DT.ODA.ODAT.MP.ZS,"Net ODA received (% of imports of goods, services and primary income)"
183,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$)
184,DT.ODA.ODAT.XP.ZS,Net ODA received (% of central government expense)
185,DT.TDS.DECT.CD,"Debt service on external debt, total (TDS, current US$)"
186,DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and primary income)"
187,DT.TDS.DECT.GN.ZS,Total debt service (% of GNI)
188,DT.TDS.DIMF.CD,"IMF repurchases and charges (TDS, current US$)"
189,DT.TDS.DPPF.XP.ZS,Debt service to exports (%)
190,DT.TDS.DPPG.CD,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)"
191,DT.TDS.DPPG.GN.ZS,Public and publicly guaranteed debt service (% of GNI)
192,DT.TDS.DPPG.XP.ZS,"Public and publicly guaranteed debt service (% of exports of goods, services and primary income)"
193,DT.TDS.MLAT.CD,"Multilateral debt service (TDS, current US$)"
194,DT.TDS.MLAT.PG.ZS,Multilateral debt service (% of public and publicly guaranteed debt service)
195,EG.CFT.ACCS.RU.ZS,"Access to clean fuels and technologies for cooking, rural (% of rural population)"
196,EG.CFT.ACCS.UR.ZS,"Access to clean fuels and technologies for cooking, urban (% of urban population)"
197,EG.CFT.ACCS.ZS,Access to clean fuels and technologies for cooking  (% of population)
198,EG.EGY.PRIM.PP.KD,Energy intensity level of primary energy (MJ/$2017 PPP GDP)
199,EG.ELC.ACCS.RU.ZS,"Access to electricity, rural (% of rural population)"
200,EG.ELC.ACCS.UR.ZS,"Access to electricity, urban (% of urban population)"
201,EG.ELC.ACCS.ZS,Access to electricity (% of population)
202,EG.ELC.COAL.ZS,Electricity production from coal sources (% of total)
203,EG.ELC.FOSL.ZS,"Electricity production from oil, gas and coal sources (% of total)"
204,EG.ELC.HYRO.ZS,Electricity production from hydroelectric sources (% of total)
205,EG.ELC.LOSS.ZS,Electric power transmission and distribution losses (% of output)
206,EG.ELC.NGAS.ZS,Electricity production from natural gas sources (% of total)
207,EG.ELC.NUCL.ZS,Electricity production from nuclear sources (% of total)
208,EG.ELC.PETR.ZS,Electricity production from oil sources (% of total)
209,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output)
210,EG.ELC.RNWX.KH,"Electricity production from renewable sources, excluding hydroelectric (kWh)"
211,EG.ELC.RNWX.ZS,"Electricity production from renewable sources, excluding hydroelectric (% of total)"
212,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption)
213,EG.GDP.PUSE.KO.PP,GDP per unit of energy use (PPP $ per kg of oil equivalent)
214,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent)
215,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
216,EG.USE.COMM.CL.ZS,Alternative and nuclear energy (% of total energy use)
217,EG.USE.COMM.FO.ZS,Fossil fuel energy consumption (% of total)
218,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)"
219,EG.USE.CRNW.ZS,Combustible renewables and waste (% of total energy)
220,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita)
221,EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita)
222,EN.ATM.CO2E.EG.ZS,CO2 intensity (kg per kg of oil equivalent energy use)
223,EN.ATM.CO2E.GF.KT,CO2 emissions from gaseous fuel consumption (kt)
224,EN.ATM.CO2E.GF.ZS,CO2 emissions from gaseous fuel consumption (% of total)
225,EN.ATM.CO2E.KD.GD,CO2 emissions (kg per 2015 US$ of GDP)
226,EN.ATM.CO2E.KT,CO2 emissions (kt)
227,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt)
228,EN.ATM.CO2E.LF.ZS,CO2 emissions from liquid fuel consumption (% of total)
229,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita)
230,EN.ATM.CO2E.PP.GD,CO2 emissions (kg per PPP $ of GDP)
231,EN.ATM.CO2E.PP.GD.KD,CO2 emissions (kg per 2017 PPP $ of GDP)
232,EN.ATM.CO2E.SF.KT,CO2 emissions from solid fuel consumption (kt)
233,EN.ATM.CO2E.SF.ZS,CO2 emissions from solid fuel consumption (% of total)
234,EN.ATM.GHGO.KT.CE,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)"
235,EN.ATM.GHGO.ZG,Other greenhouse gas emissions (% change from 1990)
236,EN.ATM.GHGT.KT.CE,Total greenhouse gas emissions (kt of CO2 equivalent)
237,EN.ATM.GHGT.ZG,Total greenhouse gas emissions (% change from 1990)
238,EN.ATM.HFCG.KT.CE,HFC gas emissions (thousand metric tons of CO2 equivalent)
239,EN.ATM.METH.AG.KT.CE,Agricultural methane emissions (thousand metric tons of CO2 equivalent)
240,EN.ATM.METH.AG.ZS,Agricultural methane emissions (% of total)
241,EN.ATM.METH.EG.KT.CE,Methane emissions in energy sector (thousand metric tons of CO2 equivalent)
242,EN.ATM.METH.EG.ZS,Energy related methane emissions (% of total)
243,EN.ATM.METH.KT.CE,Methane emissions (kt of CO2 equivalent)
244,EN.ATM.METH.ZG,Methane emissions (% change from 1990)
245,EN.ATM.NOXE.AG.KT.CE,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent)
246,EN.ATM.NOXE.AG.ZS,Agricultural nitrous oxide emissions (% of total)
247,EN.ATM.NOXE.EG.KT.CE,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent)
248,EN.ATM.NOXE.EG.ZS,Nitrous oxide emissions in energy sector (% of total)
249,EN.ATM.NOXE.KT.CE,Nitrous oxide emissions (thousand metric tons of CO2 equivalent)
250,EN.ATM.NOXE.ZG,Nitrous oxide emissions (% change from 1990)
251,EN.ATM.PFCG.KT.CE,PFC gas emissions (thousand metric tons of CO2 equivalent)
252,EN.ATM.PM25.MC.M3,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"
253,EN.ATM.PM25.MC.T1.ZS,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-1 value (% of total)"
254,EN.ATM.PM25.MC.T2.ZS,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-2 value (% of total)"
255,EN.ATM.PM25.MC.T3.ZS,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-3 value (% of total)"
256,EN.ATM.PM25.MC.ZS,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)"
257,EN.ATM.SF6G.KT.CE,SF6 gas emissions (thousand metric tons of CO2 equivalent)
258,EN.BIR.THRD.NO,"Bird species, threatened"
259,EN.CLC.DRSK.XQ,Disaster risk reduction progress score (1-5 scale; 5=best)
260,EN.CLC.GHGR.MT.CE,GHG net emissions/removals by LUCF (Mt of CO2 equivalent)
261,EN.CLC.MDAT.ZS,"Droughts, floods, extreme temperatures (% of population, average 1990-2009)"
262,EN.CO2.BLDG.ZS,CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion)
263,EN.CO2.ETOT.ZS,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)"
264,EN.CO2.MANF.ZS,CO2 emissions from manufacturing industries and construction (% of total fuel combustion)
265,EN.CO2.OTHX.ZS,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)"
266,EN.CO2.TRAN.ZS,CO2 emissions from transport (% of total fuel combustion)
267,EN.FSH.THRD.NO,"Fish species, threatened"
268,EN.HPT.THRD.NO,"Plant species (higher), threatened"
269,EN.MAM.THRD.NO,"Mammal species, threatened"
270,EN.POP.DNST,Population density (people per sq. km of land area)
271,EN.POP.EL5M.RU.ZS,Rural population living in areas where elevation is below 5 meters (% of total population)
272,EN.POP.EL5M.UR.ZS,Urban population living in areas where elevation is below 5 meters (% of total population)
273,EN.POP.EL5M.ZS,Population living in areas where elevation is below 5 meters (% of total population)
274,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population)
275,EN.URB.LCTY,Population in largest city
276,EN.URB.LCTY.UR.ZS,Population in the largest city (% of urban population)
277,EN.URB.MCTY,Population in urban agglomerations of more than 1 million
278,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population)
279,EP.PMP.DESL.CD,Pump price for diesel fuel (US$ per liter)
280,EP.PMP.SGAS.CD,Pump price for gasoline (US$ per liter)
281,ER.FSH.AQUA.MT,Aquaculture production (metric tons)
282,ER.FSH.CAPT.MT,Capture fisheries production (metric tons)
283,ER.FSH.PROD.MT,Total fisheries production (metric tons)
284,ER.GDP.FWTL.M3.KD,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)"
285,ER.H2O.FWAG.ZS,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)"
286,ER.H2O.FWDM.ZS,"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)"
287,ER.H2O.FWIN.ZS,"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)"
288,ER.H2O.FWST.ZS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources
289,ER.H2O.FWTL.K3,"Annual freshwater withdrawals, total (billion cubic meters)"
290,ER.H2O.FWTL.ZS,"Annual freshwater withdrawals, total (% of internal resources)"
291,ER.H2O.INTR.K3,"Renewable internal freshwater resources, total (billion cubic meters)"
292,ER.H2O.INTR.PC,Renewable internal freshwater resources per capita (cubic meters)
293,ER.LND.PTLD.ZS,Terrestrial protected areas (% of total land area)
294,ER.MRN.PTMR.ZS,Marine protected areas (% of territorial waters)
295,ER.PTD.TOTL.ZS,Terrestrial and marine protected areas (% of total territorial area)
296,FB.AST.NPER.ZS,Bank nonperforming loans to total gross loans (%)
297,FB.ATM.TOTL.P5,"Automated teller machines (ATMs) (per 100,000 adults)"
298,FB.BNK.CAPA.ZS,Bank capital to assets ratio (%)
299,FB.CBK.BRCH.P5,"Commercial bank branches (per 100,000 adults)"
300,FB.CBK.BRWR.P3,"Borrowers from commercial banks (per 1,000 adults)"
301,FB.CBK.DPTR.P3,"Depositors with commercial banks (per 1,000 adults)"
302,FD.AST.PRVT.GD.ZS,Domestic credit to private sector by banks (% of GDP)
303,FD.RES.LIQU.AS.ZS,Bank liquid reserves to bank assets ratio (%)
304,FI.RES.TOTL.CD,"Total reserves (includes gold, current US$)"
305,FI.RES.TOTL.DT.ZS,Total reserves (% of total external debt)
306,FI.RES.TOTL.MO,Total reserves in months of imports
307,FI.RES.XGLD.CD,Total reserves minus gold (current US$)
308,FM.AST.CGOV.ZG.M3,Claims on central government (annual growth as % of broad money)
309,FM.AST.DOMO.ZG.M3,Claims on other sectors of the domestic economy (annual growth as % of broad money)
310,FM.AST.DOMS.CN,Net domestic credit (current LCU)
311,FM.AST.NFRG.CN,Net foreign assets (current LCU)
312,FM.AST.PRVT.GD.ZS,Monetary Sector credit to private sector (% GDP)
313,FM.AST.PRVT.ZG.M3,Claims on private sector (annual growth as % of broad money)
314,FM.LBL.BMNY.CN,Broad money (current LCU)
315,FM.LBL.BMNY.GD.ZS,Broad money (% of GDP)
316,FM.LBL.BMNY.IR.ZS,Broad money to total reserves ratio
317,FM.LBL.BMNY.ZG,Broad money growth (annual %)
318,FP.CPI.TOTL,Consumer price index (2010 = 100)
319,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)"
320,FP.WPI.TOTL,Wholesale price index (2010 = 100)
321,FR.INR.DPST,Deposit interest rate (%)
322,FR.INR.LEND,Lending interest rate (%)
323,FR.INR.LNDP,"Interest rate spread (lending rate minus deposit rate, %)"
324,FR.INR.RINR,Real interest rate (%)
325,FR.INR.RISK,"Risk premium on lending (lending rate minus treasury bill rate, %)"
326,FS.AST.CGOV.GD.ZS,"Claims on central government, etc. (% GDP)"
327,FS.AST.DOMO.GD.ZS,Claims on other sectors of the domestic economy (% of GDP)
328,FS.AST.DOMS.GD.ZS,Domestic credit provided by financial sector (% of GDP)
329,FS.AST.PRVT.GD.ZS,Domestic credit to private sector (% of GDP)
330,FX.OWN.TOTL.40.ZS,"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)"
331,FX.OWN.TOTL.60.ZS,"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)"
332,FX.OWN.TOTL.FE.ZS,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)"
333,FX.OWN.TOTL.MA.ZS,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)"
334,FX.OWN.TOTL.OL.ZS,"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)"
335,FX.OWN.TOTL.PL.ZS,"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)"
336,FX.OWN.TOTL.SO.ZS,"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)"
337,FX.OWN.TOTL.YG.ZS,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)"
338,FX.OWN.TOTL.ZS,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+)
339,GB.XPD.RSDV.GD.ZS,Research and development expenditure (% of GDP)
340,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU)
341,GC.AST.TOTL.GD.ZS,Net acquisition of financial assets (% of GDP)
342,GC.DOD.TOTL.CN,"Central government debt, total (current LCU)"
343,GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)"
344,GC.LBL.TOTL.CN,"Net incurrence of liabilities, total (current LCU)"
345,GC.LBL.TOTL.GD.ZS,"Net incurrence of liabilities, total (% of GDP)"
